campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
Lead Generation,Google Ads,Stories,Mobile,Other,Carousel,True,Curiosity,84,18-24,Female,Gamers,$50K-$100K,Medium,False,2025-10-17,5,64,5,1.87,24248,765,26,1430.55,8099.84,66.37,High,3.155,1.87,3.399,55.02,5.66,6669.29
App Installs,Google Ads,Display Network,Mobile,Android,Carousel,True,Fear,10,25-34,Male,Health & Fitness,$100K-$200K,Low,False,2025-08-12,8,30,6,4.85,55734,1161,13,5630.85,4694.27,84.91,Medium,2.083,4.85,1.12,433.14,0.83,-936.58
Conversions,Facebook,Feed,Tablet,Windows,Video,True,Curiosity,3,65+,Female,Gamers,$50K-$100K,Low,True,2025-05-09,18,14,7,2.57,12664,345,16,886.65,3427.34,52.3,Low,2.724,2.57,4.638,55.42,3.87,2540.69
Conversions,Google Ads,Display Network,Mobile,Android,Image,True,Trust,16,18-24,All,Students,$50K-$100K,Low,True,2024-03-01,10,25,8,2.78,5478,152,2,422.56,281.24,75.85,Medium,2.775,2.78,1.316,211.28,0.67,-141.32
Brand Awareness,LinkedIn,Feed,Mobile,Android,Image,False,Joy,45,55-64,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-10-12,13,68,3,10.81,24621,462,8,4994.22,2481.66,65.65,Low,1.876,10.81,1.732,624.28,0.5,-2512.56
Conversions,Facebook,Feed,Desktop,Windows,Video,True,Urgency,24,65+,Male,Tech Enthusiasts,$50K-$100K,High,False,2024-02-10,10,44,5,1.58,29863,532,33,840.56,7218.5,32.59,Low,1.781,1.58,6.203,25.47,8.59,6377.94
Conversions,Google Ads,Feed,Mobile,Other,Video,True,Trust,86,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-03-07,22,11,6,5.26,118704,2608,61,13718.08,38324.22,65.28,Medium,2.197,5.26,2.339,224.89,2.79,24606.14
Conversions,Facebook,Display Network,Desktop,Android,Video,True,Urgency,8,35-44,All,Tech Enthusiasts,<$50K,Low,False,2025-05-04,15,59,7,1.03,75841,4994,133,5143.82,14570.43,88.94,Medium,6.585,1.03,2.663,38.68,2.83,9426.61
Conversions,Google Ads,Sidebar,Desktop,Windows,Text,False,Joy,47,18-24,Female,Shoppers,$50K-$100K,High,True,2024-03-04,22,76,6,4.49,27550,247,35,1109.03,9741.69,18.14,Low,0.897,4.49,14.17,31.69,8.78,8632.66
Conversions,LinkedIn,Feed,Mobile,iOS,Story,True,Curiosity,82,25-34,All,Business Professionals,<$50K,High,True,2025-05-25,1,21,4,13.87,23988,405,47,5617.35,5964.46,29.99,Medium,1.688,13.87,11.605,119.52,1.06,347.11
Lead Generation,Facebook,Stories,Desktop,iOS,Image,True,Trust,42,25-34,All,Business Professionals,$50K-$100K,Low,True,2025-02-25,6,49,5,2.8,7760,158,5,442.4,598.81,66.43,Low,2.036,2.8,3.165,88.48,1.35,156.41
Lead Generation,TikTok,Feed,Mobile,iOS,Video,True,Trust,7,25-34,Male,Gamers,$50K-$100K,Medium,False,2024-02-21,15,25,5,2.49,23220,663,5,1650.87,1154.46,67.32,Medium,2.855,2.49,0.754,330.17,0.7,-496.41
Brand Awareness,Facebook,In-Stream Video,Desktop,macOS,Image,True,Joy,37,45-54,All,Health & Fitness,$100K-$200K,High,False,2024-08-14,0,50,5,3.45,37064,606,27,2090.7,5533.24,28.7,Medium,1.635,3.45,4.455,77.43,2.65,3442.54
Conversions,Twitter,Display Network,Desktop,macOS,Text,True,Urgency,13,45-54,Male,Students,$50K-$100K,Medium,False,2026-01-29,1,42,6,2.43,7507,103,1,250.29,222.53,61.64,Medium,1.372,2.43,0.971,250.29,0.89,-27.76
App Installs,Facebook,In-Stream Video,Mobile,iOS,Image,False,Curiosity,10,25-34,All,Business Professionals,>$200K,Low,False,2025-09-12,22,48,6,2.13,6508,99,0,210.87,0.0,90.0,Low,1.521,2.13,0.0,0.0,0.0,-210.87
Lead Generation,Google Ads,Stories,Desktop,iOS,Carousel,True,Fear,52,35-44,Male,Business Professionals,<$50K,Medium,False,2025-03-27,2,2,7,3.77,119643,1326,28,4999.02,6968.03,48.76,Low,1.108,3.77,2.112,178.54,1.39,1969.01
App Installs,Google Ads,Display Network,Mobile,Android,Video,True,Neutral,1,35-44,Male,Shoppers,>$200K,Low,False,2024-02-22,19,64,7,2.32,61445,1186,9,2751.52,2961.23,85.59,Medium,1.93,2.32,0.759,305.72,1.08,209.71
Brand Awareness,Instagram,Stories,Mobile,macOS,Image,True,Curiosity,77,35-44,Female,Tech Enthusiasts,$100K-$200K,Low,False,2025-05-15,17,8,4,3.5,23202,124,0,434.0,0.0,61.46,Low,0.534,3.5,0.0,0.0,0.0,-434.0
Conversions,Google Ads,Search,Mobile,iOS,Carousel,True,Neutral,4,45-54,All,Shoppers,<$50K,Low,False,2025-04-06,7,85,10,1.7,65203,3398,41,5776.6,3611.9,82.76,Medium,5.211,1.7,1.207,140.89,0.63,-2164.7
Conversions,Twitter,Search,Mobile,Android,Story,False,Trust,31,45-54,All,Students,$50K-$100K,Low,False,2024-06-19,17,89,6,0.7,111069,1433,4,1003.1,1384.19,75.9,High,1.29,0.7,0.279,250.78,1.38,381.09
Conversions,Facebook,Search,Desktop,macOS,Video,True,Fear,36,25-34,Female,Business Professionals,$50K-$100K,Low,False,2024-06-10,12,31,6,2.18,38216,1358,28,2960.44,3337.25,67.11,High,3.553,2.18,2.062,105.73,1.13,376.81
Lead Generation,Facebook,Feed,Mobile,iOS,Story,True,Neutral,73,18-24,Male,Business Professionals,<$50K,Low,False,2024-04-26,8,17,4,2.7,12769,142,3,383.4,603.45,55.79,Medium,1.112,2.7,2.113,127.8,1.57,220.05
App Installs,Google Ads,Sidebar,Tablet,Windows,Video,True,Urgency,88,45-54,Male,Business Professionals,<$50K,Medium,True,2025-01-20,8,89,5,5.8,81015,1063,42,6165.4,8717.72,41.26,Medium,1.312,5.8,3.951,146.8,1.41,2552.32
Lead Generation,Instagram,Display Network,Mobile,Windows,Story,True,Trust,88,45-54,Female,Business Professionals,$50K-$100K,Low,False,2024-05-05,19,71,4,3.18,8081,80,0,254.4,0.0,70.15,Medium,0.99,3.18,0.0,0.0,0.0,-254.4
Lead Generation,Facebook,Feed,Tablet,Windows,Video,False,Neutral,10,65+,Male,Students,<$50K,Low,False,2025-11-18,23,1,5,1.01,20691,1005,27,1015.05,5536.04,55.41,Low,4.857,1.01,2.687,37.59,5.45,4520.99
Brand Awareness,Twitter,Feed,Mobile,iOS,Interactive,False,Trust,50,35-44,Female,Students,>$200K,Medium,False,2025-02-25,0,69,4,1.15,37687,371,0,426.65,0.0,40.25,Medium,0.984,1.15,0.0,0.0,0.0,-426.65
Conversions,Google Ads,Feed,Mobile,Windows,Image,True,Joy,52,25-34,Female,Business Professionals,$50K-$100K,High,False,2024-01-20,7,54,7,2.09,24564,336,17,702.24,5219.77,46.38,High,1.368,2.09,5.06,41.31,7.43,4517.53
Lead Generation,Facebook,In-Stream Video,Desktop,macOS,Image,True,Joy,80,45-54,Male,Shoppers,$50K-$100K,Medium,False,2024-02-23,16,1,6,0.96,5000,51,0,48.96,0.0,47.79,Low,1.02,0.96,0.0,0.0,0.0,-48.96
Lead Generation,LinkedIn,In-Stream Video,Tablet,Windows,Image,True,Joy,31,35-44,Male,Gamers,<$50K,Medium,False,2025-05-19,19,36,6,2.84,169604,2561,49,7273.24,12631.74,54.97,High,1.51,2.84,1.913,148.43,1.74,5358.5
Brand Awareness,Facebook,Feed,Mobile,iOS,Interactive,True,Neutral,59,25-34,All,Shoppers,$100K-$200K,Medium,True,2025-04-17,6,77,7,0.7,5000,161,0,112.7,0.0,71.27,Low,3.22,0.7,0.0,0.0,0.0,-112.7
Conversions,Twitter,Search,Mobile,Android,Image,True,Trust,37,55-64,All,Gamers,$50K-$100K,Low,True,2024-08-31,17,18,9,1.81,13045,339,4,613.59,856.88,77.02,Medium,2.599,1.81,1.18,153.4,1.4,243.29
Conversions,Google Ads,Display Network,Mobile,Android,Image,True,Urgency,49,45-54,Male,Students,$50K-$100K,Low,False,2024-04-16,2,33,5,4.13,391586,4258,130,17585.54,27171.52,59.83,High,1.087,4.13,3.053,135.27,1.55,9585.98
Engagement,TikTok,Search,Mobile,macOS,Image,False,Neutral,62,18-24,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2025-05-16,11,4,5,0.77,150853,2126,9,1637.02,1587.71,57.46,High,1.409,0.77,0.423,181.89,0.97,-49.31
Brand Awareness,Google Ads,Feed,Mobile,macOS,Video,True,Trust,48,45-54,Male,Shoppers,$100K-$200K,Medium,True,2024-02-08,3,6,8,3.1,83478,1827,12,5663.7,2661.1,61.32,High,2.189,3.1,0.657,471.98,0.47,-3002.6
Conversions,TikTok,Stories,Desktop,Android,Video,True,Joy,87,25-34,All,Students,$50K-$100K,Medium,False,2024-03-14,18,84,3,2.26,14769,233,5,526.58,1108.68,39.47,Low,1.578,2.26,2.146,105.32,2.11,582.1
Conversions,Instagram,Stories,Mobile,Other,Video,True,Neutral,2,18-24,Female,Health & Fitness,>$200K,Low,False,2024-03-04,3,86,6,1.62,20681,590,5,955.8,2229.71,70.9,Medium,2.853,1.62,0.847,191.16,2.33,1273.91
Lead Generation,Google Ads,In-Stream Video,Desktop,macOS,Video,True,Urgency,10,18-24,All,Business Professionals,$50K-$100K,Low,True,2025-02-26,18,57,7,6.09,19008,914,77,5566.26,10033.95,47.71,Medium,4.809,6.09,8.425,72.29,1.8,4467.69
Lead Generation,Twitter,Search,Desktop,Windows,Image,True,Urgency,18,35-44,Male,Students,$50K-$100K,Medium,False,2025-06-28,17,60,6,1.14,21609,491,8,559.74,2015.0,73.11,Medium,2.272,1.14,1.629,69.97,3.6,1455.26
Lead Generation,TikTok,Feed,Mobile,iOS,Image,True,Urgency,67,35-44,Female,Tech Enthusiasts,$100K-$200K,Medium,False,2025-08-15,23,41,3,0.93,36654,196,1,182.28,162.69,66.49,Low,0.535,0.93,0.51,182.28,0.89,-19.59
Brand Awareness,Google Ads,Display Network,Mobile,Android,Video,True,Urgency,15,18-24,Female,Business Professionals,<$50K,Medium,False,2024-05-08,1,27,8,2.56,87398,3582,78,9169.92,18563.95,50.9,Medium,4.098,2.56,2.178,117.56,2.02,9394.03
Brand Awareness,TikTok,Feed,Desktop,Android,Image,True,Joy,18,18-24,All,Shoppers,<$50K,Medium,False,2024-02-08,6,72,6,2.2,448156,9090,76,19998.0,11044.81,49.64,Medium,2.028,2.2,0.836,263.13,0.55,-8953.19
Brand Awareness,Twitter,Sidebar,Mobile,iOS,Story,False,Neutral,72,35-44,Male,Tech Enthusiasts,$50K-$100K,Medium,False,2024-09-09,3,84,3,2.64,39787,177,0,467.28,0.0,65.66,High,0.445,2.64,0.0,0.0,0.0,-467.28
Conversions,Facebook,Stories,Mobile,Other,Image,True,Urgency,39,25-34,Male,Gamers,>$200K,Low,True,2025-07-16,15,85,8,1.67,48881,1127,15,1882.09,6789.06,84.27,Medium,2.306,1.67,1.331,125.47,3.61,4906.97
Brand Awareness,Instagram,Feed,Mobile,Windows,Video,True,Trust,53,18-24,All,Health & Fitness,$50K-$100K,High,False,2025-07-04,8,22,5,1.96,21325,515,11,1009.4,3541.0,34.34,Low,2.415,1.96,2.136,91.76,3.51,2531.6
Lead Generation,LinkedIn,Feed,Desktop,Windows,Story,False,Curiosity,37,25-34,All,Health & Fitness,$100K-$200K,Medium,False,2025-06-06,14,68,4,7.99,8616,196,9,1566.04,2516.43,27.69,Medium,2.275,7.99,4.592,174.0,1.61,950.39
Conversions,Google Ads,Display Network,Tablet,Android,Carousel,True,Trust,22,35-44,Male,Shoppers,<$50K,Low,False,2024-05-29,18,68,5,6.93,16750,229,4,1586.97,372.29,52.36,Low,1.367,6.93,1.747,396.74,0.23,-1214.68
Conversions,Facebook,Display Network,Desktop,Windows,Image,False,Trust,58,18-24,Male,Business Professionals,<$50K,Medium,False,2024-12-08,15,67,3,2.88,7269,276,29,794.88,4913.81,43.63,Medium,3.797,2.88,10.507,27.41,6.18,4118.93
Conversions,LinkedIn,Feed,Desktop,iOS,Image,False,Trust,47,18-24,Female,Students,>$200K,High,False,2024-04-27,14,41,5,5.58,9175,183,16,1021.14,8068.72,27.74,Medium,1.995,5.58,8.743,63.82,7.9,7047.58
Lead Generation,Twitter,Sidebar,Mobile,Android,Image,True,Joy,54,25-34,Male,Tech Enthusiasts,$100K-$200K,High,False,2025-06-15,13,88,3,1.91,259345,2026,69,3869.66,13952.6,49.75,Medium,0.781,1.91,3.406,56.08,3.61,10082.94
Conversions,Twitter,Feed,Desktop,iOS,Image,False,Fear,19,25-34,All,Students,<$50K,Medium,False,2024-06-25,2,42,5,1.23,13324,207,4,254.61,758.89,37.48,Low,1.554,1.23,1.932,63.65,2.98,504.28
Lead Generation,Facebook,Display Network,Desktop,Windows,Image,False,Trust,39,18-24,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-10-09,0,68,5,1.1,25575,1531,28,1684.1,8348.85,74.28,High,5.986,1.1,1.829,60.15,4.96,6664.75
Brand Awareness,LinkedIn,Feed,Mobile,Windows,Image,False,Trust,65,25-34,Female,Business Professionals,$50K-$100K,Medium,True,2024-07-30,11,4,4,4.32,122998,1110,3,4795.2,681.68,65.35,Medium,0.902,4.32,0.27,1598.4,0.14,-4113.52
Brand Awareness,TikTok,Search,Desktop,macOS,Image,True,Joy,26,18-24,All,Tech Enthusiasts,$50K-$100K,High,False,2025-02-28,11,56,8,1.0,73119,2817,56,2817.0,10519.1,18.73,Medium,3.853,1.0,1.988,50.3,3.73,7702.1
App Installs,Twitter,Stories,Tablet,macOS,Video,True,Urgency,2,55-64,Female,Tech Enthusiasts,$50K-$100K,High,False,2025-07-20,20,2,5,0.75,35721,860,27,645.0,4487.76,23.87,Medium,2.408,0.75,3.14,23.89,6.96,3842.76
Brand Awareness,Instagram,Search,Mobile,iOS,Interactive,True,Joy,3,35-44,All,Business Professionals,$100K-$200K,Low,False,2025-02-04,2,1,7,1.9,63425,1540,3,2926.0,1407.51,72.48,Medium,2.428,1.9,0.195,975.33,0.48,-1518.49
Lead Generation,LinkedIn,Feed,Mobile,iOS,Video,True,Joy,63,25-34,Female,Gamers,$100K-$200K,Medium,False,2024-01-26,21,9,6,4.46,14650,366,11,1632.36,2280.76,41.05,Medium,2.498,4.46,3.005,148.4,1.4,648.4
Conversions,Facebook,Search,Tablet,Windows,Video,True,Trust,38,55-64,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2024-03-18,2,40,6,2.03,11077,201,6,408.03,1314.13,50.54,Low,1.815,2.03,2.985,68.0,3.22,906.1
Brand Awareness,Google Ads,Stories,Mobile,Android,Image,True,Trust,75,35-44,All,Business Professionals,$100K-$200K,Medium,False,2025-05-05,20,88,6,3.27,22535,212,1,693.24,297.26,64.73,Medium,0.941,3.27,0.472,693.24,0.43,-395.98
Engagement,TikTok,Search,Desktop,Android,Image,True,Joy,89,25-34,Female,Students,$100K-$200K,Low,False,2024-06-16,7,67,6,0.46,70091,1548,11,712.08,4918.98,72.19,Low,2.209,0.46,0.711,64.73,6.91,4206.9
Engagement,Google Ads,Search,Mobile,Other,Image,True,Neutral,76,25-34,Male,Gamers,<$50K,Low,False,2024-09-04,15,22,5,5.54,28047,323,2,1789.42,357.87,90.0,High,1.152,5.54,0.619,894.71,0.2,-1431.55
Conversions,Google Ads,Stories,Tablet,macOS,Video,True,Neutral,10,35-44,Male,Students,>$200K,High,False,2024-03-20,2,42,7,4.11,65841,1890,74,7767.9,32200.61,40.43,Medium,2.871,4.11,3.915,104.97,4.15,24432.71
