campaign_objective,ad_placement,device_type,operating_system,creative_format,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,roas,conversion_rate_calc,platform_Google Ads,platform_Instagram,platform_LinkedIn,platform_TikTok,platform_Twitter
Lead Generation,Stories,Mobile,Android,Image,True,Neutral,64,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,False,2025-11-17,16,32,7,3.86,0.018113167250204343,2232,3.1937146005091304,1.126916693193792,20747.88,51.09,High,3.597,0.2449648420092074,1.1621688412886684,50.38,2.41,12132.36,2.4081982283135552,0.07661290322580645,True,False,False,False,False
Lead Generation,In-Stream Video,Mobile,macOS,Interactive,True,Joy,23,25-34,Female,Business Professionals,<$50K,Medium,False,2025-08-25,20,25,6,7.52,-0.7013455587373503,168,-0.6840767384627737,-0.4135221898185798,196.05,62.34,Medium,3.104,1.7435664964150943,-0.5408320375123423,631.68,0.16,-1067.31,0.1551814209726444,0.011904761904761904,True,False,False,False,False
Lead Generation,Feed,Mobile,Windows,Interactive,True,Urgency,56,25-34,Female,Students,<$50K,Low,False,2025-09-21,6,9,6,6.92,1.2759942118757628,5433,0.5090898273747353,7.199038736016617,8508.89,80.25,High,3.373,1.4978940940534737,-0.5924141998126048,696.23,0.23,-29087.47,0.2263221758702172,0.009939260077305357,False,False,True,False,False
Lead Generation,Feed,Mobile,macOS,Interactive,False,Trust,10,18-24,All,Students,>$200K,High,False,2024-09-04,16,61,7,3.86,-0.48548126750703957,644,-0.5005126514108493,-0.1573857991925645,2527.74,37.63,Low,2.874,0.2449648420092074,-0.4452997675378767,248.58,1.02,41.9,1.01685546937856,0.015527950310559006,True,False,False,False,False
App Installs,Stories,Tablet,Android,Story,True,Neutral,43,35-44,All,Tech Enthusiasts,$100K-$200K,Low,False,2025-05-28,20,13,8,1.59,0.22069154799937915,1376,-0.3628395861219059,-0.2198233396075836,5239.62,57.6,Medium,1.764,-0.6844957469255913,-0.5479377435435008,136.74,2.39,3051.78,2.394882623957876,0.011627906976744186,False,False,False,True,False
Conversions,Stories,Mobile,Windows,Carousel,True,Neutral,50,18-24,All,Shoppers,$50K-$100K,Low,False,2024-11-03,14,37,6,1.27,-0.3326551920681988,2729,0.623817381782188,0.047943614335336636,8391.63,62.34,Medium,7.924,-0.8155210281851225,-0.28502662039063276,58.74,2.42,4925.8,2.421246858616839,0.021619640894100404,False,False,False,False,True
Lead Generation,Stories,Mobile,Android,Video,True,Fear,70,25-34,Female,Business Professionals,$50K-$100K,Low,True,2024-11-03,10,68,5,2.78,-0.6949566362019666,398,-0.2940030534774343,-0.4464003738518844,6436.21,84.35,Medium,6.728,-0.19724548224171015,0.40238464454959905,58.23,5.82,5329.77,5.817043852355302,0.04773869346733668,False,False,True,False,False
Lead Generation,Search,Desktop,iOS,Text,False,Joy,77,25-34,Female,Tech Enthusiasts,>$200K,Low,False,2024-04-24,15,33,5,1.87,-0.5821026069238665,165,-0.7070222493442643,-0.6135758407033595,310.83,47.13,Medium,1.115,-0.5698486258235016,-0.6945258272233282,308.55,1.01,2.28,1.0073894020418084,0.006060606060606061,False,False,False,True,False
Conversions,Feed,Desktop,Windows,Video,True,Joy,35,25-34,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-01-14,3,81,7,4.66,-0.6751547868328548,237,-0.5464036731738304,-0.4468236081862413,1354.72,44.78,Medium,3.171,0.5725280451580353,0.03446697671405382,138.05,1.23,250.3,1.2266347947338874,0.03375527426160337,False,False,True,False,False
Lead Generation,Feed,Desktop,Windows,Video,False,Urgency,23,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,True,2025-08-16,6,82,5,2.69,-0.11378061328145478,2465,1.9546570129086402,0.7110847692492418,28180.67,50.56,Medium,4.77,-0.23409634259595322,0.3950157642209902,56.67,4.25,21549.82,4.249933266474132,0.04746450304259635,False,False,False,False,False
Lead Generation,In-Stream Video,Desktop,Android,Image,False,Neutral,7,45-54,Female,Business Professionals,$50K-$100K,Low,False,2024-10-29,15,46,4,1.85,0.0864479649447658,2506,3.492006241968508,0.2931408640718615,26115.38,56.31,Medium,3.716,-0.5780377059022224,1.0782162404020168,25.2,5.63,21479.28,5.633049330256034,0.07342378292098962,True,False,False,False,False
Lead Generation,Search,Mobile,macOS,Carousel,True,Joy,72,35-44,All,Business Professionals,$100K-$200K,Low,False,2024-11-23,7,54,4,2.97,-0.4961760443952962,645,-0.2940030534774343,-0.2768531185524294,4638.86,73.52,Low,2.991,-0.11944922149386338,-0.07869797118958304,100.82,2.42,2723.21,2.421559261869339,0.02945736434108527,False,False,False,False,False
Brand Awareness,Stories,Desktop,Other,Story,True,Fear,37,25-34,Male,Business Professionals,<$50K,High,False,2025-08-01,4,14,4,4.61,-0.19784003542692088,880,2.298839676130999,0.17176479976843678,26172.57,10.0,High,1.953,0.5520553449612337,3.0936050102765553,30.73,6.45,22115.77,6.451530763163084,0.15,True,False,False,False,False
Conversions,Search,Desktop,Windows,Carousel,True,Fear,81,45-54,Male,Shoppers,$50K-$100K,Medium,False,2024-12-01,1,34,4,8.11,-0.3715984057729433,616,2.390621719656961,0.3684975277821493,39273.67,43.44,Low,1.963,1.9851443587373547,4.956352687629909,36.73,7.86,34277.91,7.861400467596521,0.22077922077922077,True,False,False,False,False
Lead Generation,Sidebar,Mobile,Android,Carousel,True,Curiosity,56,45-54,All,Business Professionals,$50K-$100K,Medium,False,2025-02-18,1,34,7,2.41,1.948609307027343,2908,-0.2940030534774343,0.7901646379701834,4711.16,71.71,High,1.359,-0.3487434636980429,-0.6821566352431633,368.86,0.67,-2297.12,0.6722277077970629,0.006533700137551582,False,False,False,False,True
Lead Generation,Search,Mobile,Other,Image,True,Curiosity,57,18-24,Female,Health & Fitness,>$200K,High,True,2024-07-15,17,69,5,2.11,0.041941434996486365,952,0.623817381782188,-0.2573529108798595,23935.85,42.24,Low,1.489,-0.4715796648788534,0.7768816698214022,34.05,11.92,21927.13,11.915971364849256,0.06197478991596639,True,False,False,False,False
Lead Generation,Feed,Mobile,iOS,Image,False,Fear,46,25-34,All,Health & Fitness,$100K-$200K,Medium,False,2025-04-30,20,76,5,1.89,-0.5662509661203697,143,-0.7299677602257548,-0.6215963408613694,0.0,66.97,Low,0.891,-0.561659545744781,-0.8540094514782213,0.0,0.0,-270.27,0.0,0.0,False,False,False,False,True
Lead Generation,Search,Desktop,Other,Image,True,Trust,68,18-24,Male,Tech Enthusiasts,$50K-$100K,Medium,True,2025-12-17,6,67,6,8.65,-0.3803371308312813,1340,4.731063829568998,1.7503450581403721,33069.77,33.29,Medium,4.367,2.206249520862814,3.8202292455368845,48.7,2.85,21478.77,2.8530558191700455,0.17761194029850746,False,False,True,False,False
Lead Generation,Display Network,Tablet,iOS,Carousel,True,Urgency,46,18-24,All,Business Professionals,$50K-$100K,Medium,False,2025-07-04,22,54,8,5.17,-0.5483797653106582,515,-0.4087306078848871,-0.12036117581424899,4599.87,47.63,Medium,2.95,0.7813495871654129,-0.1387017110082557,190.18,1.73,1937.32,1.72761826068994,0.027184466019417475,False,False,True,False,False
Lead Generation,Feed,Desktop,macOS,Image,True,Joy,41,25-34,Female,Students,<$50K,Low,False,2024-07-26,11,79,7,1.78,-0.5536255406727129,498,-0.4546216296478682,-0.4924952023461938,1279.91,58.37,Medium,2.922,-0.6066994861777448,-0.21975939462295374,73.87,1.44,393.47,1.4438766301159696,0.024096385542168676,False,False,False,False,False
Conversions,Stories,Mobile,macOS,Video,True,Trust,71,55-64,All,Students,$100K-$200K,Medium,False,2024-04-14,7,89,3,2.26,0.7570307984548721,1266,0.3255257403228108,-0.07874802178127274,18826.53,49.63,Medium,1.053,-0.4101615642884482,0.10210277115878569,62.2,6.58,15965.37,6.580033972235038,0.036334913112164295,True,False,False,False,False
Conversions,In-Stream Video,Mobile,macOS,Video,True,Fear,5,25-34,Female,Shoppers,$50K-$100K,Low,False,2025-08-24,7,55,9,5.99,2.2962276608014616,8347,3.17076908962764,9.797565550140568,26566.56,57.37,High,3.458,1.1171018703929616,-0.31792340757192256,294.11,0.53,-23431.97,0.531346821596555,0.020366598778004074,False,False,True,False,False
Conversions,Search,Tablet,Android,Image,False,Urgency,42,45-54,Female,Tech Enthusiasts,<$50K,High,True,2025-01-01,20,73,5,1.81,-0.025872595652447383,676,0.004288587981942991,-0.4218611633370957,4393.81,27.86,Medium,1.154,-0.5944158660596638,0.3918576726515863,38.24,3.59,3170.25,3.5910049364150516,0.047337278106508875,False,False,False,False,False
Conversions,Feed,Tablet,Other,Story,False,Trust,72,25-34,Female,Tech Enthusiasts,<$50K,Medium,False,2024-06-15,1,48,1,6.46,-0.6304831356262056,37,-0.7070222493442643,-0.6281439017270384,237.56,47.55,Medium,0.337,1.3095452522428979,-0.1426493254700105,239.02,0.99,-1.46,0.9938917245418794,0.02702702702702703,True,False,False,False,False
Lead Generation,Stories,Mobile,Windows,Carousel,True,Urgency,88,35-44,Male,Business Professionals,$100K-$200K,Low,False,2025-10-28,6,44,5,2.4,0.4767565148250964,2083,1.1056731102934898,0.36921828328224204,28009.82,58.96,Low,2.122,-0.3528380037374033,0.15684302502845196,62.49,5.6,23010.62,5.602860457673228,0.03840614498319731,False,False,False,False,False
Conversions,Display Network,Desktop,iOS,Story,True,Joy,27,35-44,Female,Business Professionals,<$50K,Medium,False,2024-07-03,12,67,7,1.95,-0.6868275896360708,215,-0.5922946949368115,-0.5903817610928138,1559.24,35.22,Low,3.279,-0.5370923055086189,-0.11948998729438247,69.88,3.72,1139.99,3.7191174716756112,0.027906976744186046,False,False,False,False,False
Brand Awareness,Feed,Tablet,macOS,Video,True,Neutral,60,65+,All,Health & Fitness,>$200K,Low,False,2024-08-11,15,89,5,4.32,0.09274797603333503,813,-0.4087306078848871,0.05765076617234278,4616.07,52.67,Low,1.197,0.4333136838197836,-0.40082331126877285,250.87,1.31,1103.91,1.3143108514418478,0.017220172201722016,True,False,False,False,False
Lead Generation,Feed,Mobile,iOS,Video,True,Trust,12,35-44,Female,Business Professionals,<$50K,Medium,True,2024-05-04,13,88,6,0.73,-0.19401684321389803,1421,0.46319880561175414,-0.4608804356575286,6352.19,62.82,Low,3.133,-1.0366261903105813,0.10894530289249392,19.95,6.12,5314.86,6.1235961555146385,0.036593947923997186,False,False,False,False,False
Conversions,Stories,Mobile,Windows,Image,False,Urgency,45,25-34,Female,Gamers,$50K-$100K,High,False,2024-01-12,21,25,4,3.73,-0.02737138861303442,500,-0.4775671405293587,-0.28746540520350566,3510.88,45.5,High,0.855,0.19173582149752294,-0.2750259970875206,169.55,1.88,1645.88,1.8825093833780162,0.022,True,False,False,False,False
Brand Awareness,Feed,Mobile,Android,Image,False,Urgency,61,25-34,Male,Tech Enthusiasts,$100K-$200K,High,False,2024-06-24,18,85,5,1.95,-0.010694141517688846,566,-0.6840767384627737,-0.4469744639885863,742.41,55.44,Medium,0.947,-0.5370923055086189,-0.7611089244782588,551.85,0.67,-361.29,0.6726556129382983,0.0035335689045936395,False,False,False,True,False
Brand Awareness,Search,Mobile,Windows,Image,True,Joy,40,35-44,Female,Students,$50K-$100K,High,False,2025-06-20,21,7,8,0.76,0.47241255556644585,1872,0.4402532947302636,-0.3801327722328836,17819.05,23.96,High,1.914,-1.0243425701925002,-0.13712266522355374,27.9,12.52,16396.33,12.52463590868196,0.027243589743589744,False,False,False,False,False
App Installs,In-Stream Video,Desktop,iOS,Interactive,False,Fear,34,45-54,Female,Business Professionals,$50K-$100K,Low,True,2024-07-16,21,59,6,1.18,-0.08786927735266196,1722,0.2796347185598297,-0.25248362081527886,7313.09,45.02,High,3.206,-0.8523718885393656,-0.18159912149265756,46.18,3.6,5281.13,3.599032461268923,0.025551684088269456,False,False,False,False,False
App Installs,Sidebar,Desktop,Android,Video,False,Urgency,27,25-34,Female,Gamers,$100K-$200K,Low,False,2025-05-13,0,86,8,2.83,-0.5773267920664027,1174,-0.33989407524041537,0.017896071815477987,5348.03,85.97,Medium,7.735,-0.1767727820449083,-0.4729330687701601,195.44,1.61,2025.61,1.609679089338494,0.014480408858603067,False,False,False,False,False
Conversions,Search,Mobile,Windows,Image,True,Trust,2,45-54,Female,Shoppers,<$50K,Medium,True,2024-08-19,7,9,7,2.0,-0.28709442639340477,499,-0.3857850970033965,-0.4691209338606249,3848.28,55.93,Medium,1.312,-0.5166196053118172,-0.06290751334256403,66.53,3.86,2850.28,3.855991983967936,0.03006012024048096,False,False,False,False,True
Lead Generation,Stories,Mobile,Other,Carousel,True,Curiosity,84,18-24,Female,Gamers,$50K-$100K,Medium,False,2025-10-17,5,64,5,1.87,-0.4621102586300892,765,-0.13338447730700037,-0.37849221538238165,8099.84,66.37,High,3.155,-0.5698486258235016,0.04051998555541118,55.02,5.66,6669.29,5.662046066198315,0.03398692810457516,True,False,False,False,False
App Installs,Display Network,Mobile,Android,Carousel,True,Fear,10,25-34,Male,Health & Fitness,$100K-$200K,Low,False,2025-08-12,8,30,6,4.85,-0.06218657085853496,1161,-0.4316761187663776,0.5015628215478355,4694.27,84.91,Medium,2.083,0.6503243059058817,-0.5592542383338646,433.14,0.83,-936.58,0.8336698722217782,0.01119724375538329,True,False,False,False,False
Conversions,Feed,Tablet,Windows,Video,True,Curiosity,3,65+,Female,Gamers,$50K-$100K,Low,True,2025-05-09,18,14,7,2.57,-0.609246001472803,345,-0.3628395861219059,-0.4924512027371765,3427.34,52.3,Low,2.724,-0.2832308230682774,0.3665929400963557,55.42,3.87,2540.69,3.865493712287825,0.0463768115942029,False,False,False,False,False
Conversions,Display Network,Mobile,Android,Image,True,Trust,16,18-24,All,Students,$50K-$100K,Low,True,2024-03-01,10,25,8,2.78,-0.7005199524455015,152,-0.6840767384627737,-0.5896882434459222,281.24,75.85,Medium,2.775,-0.19724548224171015,-0.5076720760336021,211.28,0.67,-141.32,0.6655622870124953,0.013157894736842105,True,False,False,False,False
Brand Awareness,Feed,Mobile,Android,Image,False,Joy,45,55-64,All,Tech Enthusiasts,$50K-$100K,Medium,False,2025-10-12,13,68,3,10.81,-0.45737254867840305,462,-0.5464036731738304,0.3681748639826891,2481.66,65.65,Low,1.876,3.090670169364649,-0.39819156829426966,624.28,0.5,-2512.56,0.49690642382594274,0.017316017316017316,False,False,True,False,False
Conversions,Feed,Desktop,Windows,Video,True,Urgency,24,65+,Male,Tech Enthusiasts,$50K-$100K,High,False,2024-02-10,10,44,5,1.58,-0.39079057664961286,532,0.02723409886343355,-0.5021080693067344,7218.5,32.59,Low,1.781,-0.6885902869649517,0.7784607156061042,25.47,8.59,6377.94,8.58772722946607,0.06203007518796992,False,False,False,False,False
Conversions,Feed,Mobile,Other,Video,True,Trust,86,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-03-07,22,11,6,5.26,0.737635401414055,2608,0.6697084035451691,2.19601500265708,38324.22,65.28,Medium,2.197,0.818200447519656,-0.23844476974192638,224.89,2.79,24606.14,2.793701450931909,0.02338957055214724,True,False,False,False,False
Conversions,Display Network,Desktop,Android,Video,True,Urgency,8,35-44,All,Tech Enthusiasts,<$50K,Low,False,2025-05-04,15,59,7,1.03,0.19320520929844404,4994,2.3217851870124893,0.3995193473588194,14570.43,88.94,Medium,6.585,-0.9137899891297709,-0.15317629736802327,38.68,2.83,9426.61,2.8326088393450783,0.026631958350020024,False,False,False,False,False
Conversions,Sidebar,Desktop,Windows,Text,False,Joy,47,18-24,Female,Shoppers,$50K-$100K,High,True,2024-03-04,22,76,6,4.49,-0.42016945900417063,247,0.07312512062641467,-0.44585771200733787,9741.69,18.14,Low,0.897,0.5029208644889094,2.8751703433927913,31.69,8.78,8632.66,8.783973382144758,0.1417004048582996,True,False,False,False,False
Conversions,Feed,Mobile,iOS,Story,True,Curiosity,82,25-34,All,Business Professionals,<$50K,High,True,2025-05-25,1,21,4,13.87,-0.46541268379748435,405,0.3484712512043014,0.4987342752538665,5964.46,29.99,Medium,1.688,4.343599421408915,2.2001282704327245,119.52,1.06,347.11,1.061792482220264,0.11604938271604938,False,False,True,False,False
Lead Generation,Stories,Desktop,iOS,Image,True,Trust,42,25-34,All,Business Professionals,$50K-$100K,Low,True,2025-02-25,6,49,5,2.8,-0.6715348207839794,158,-0.6152402058183021,-0.5855313280035263,598.81,66.43,Low,2.036,-0.18905640216298944,-0.021062800047963338,88.48,1.35,156.41,1.3535488245931284,0.03164556962025317,False,False,False,False,False
Lead Generation,Feed,Mobile,iOS,Video,True,Trust,7,25-34,Male,Gamers,$50K-$100K,Medium,False,2024-02-21,15,25,5,2.49,-0.4751675396765593,663,-0.6152402058183021,-0.3323303398648078,1154.46,67.32,Medium,2.855,-0.31598714338316003,-0.6555760312006811,330.17,0.7,-496.41,0.6993040033436916,0.007541478129713424,False,False,False,True,False
Brand Awareness,In-Stream Video,Desktop,macOS,Image,True,Joy,37,45-54,All,Health & Fitness,$100K-$200K,High,False,2024-08-14,0,50,5,3.45,-0.2993261011480261,606,-0.1104389664255098,-0.24017630160729828,5533.24,28.7,Medium,1.635,0.0770887003954333,0.3184320436629475,77.43,2.65,3442.54,2.646596833596403,0.04455445544554455,False,False,False,False,False
Conversions,Display Network,Desktop,macOS,Text,True,Urgency,13,45-54,Male,Students,$50K-$100K,Medium,False,2026-01-29,1,42,6,2.43,-0.6747483345045601,103,-0.7070222493442643,-0.6257825893764435,222.53,61.64,Medium,1.372,-0.34055438361932217,-0.598467208653962,250.29,0.89,-27.76,0.8890886571576971,0.009708737864077669,False,False,False,False,True
App Installs,In-Stream Video,Mobile,iOS,Image,False,Curiosity,10,25-34,All,Business Professionals,>$200K,Low,False,2025-09-12,22,48,6,2.13,-0.687437268128513,99,-0.7299677602257548,-0.634041944554833,0.0,90.0,Low,1.521,-0.4633905848001327,-0.8540094514782213,0.0,0.0,-210.87,0.0,0.0,False,False,False,False,False
Lead Generation,Stories,Desktop,iOS,Carousel,True,Fear,52,35-44,Male,Business Professionals,<$50K,Medium,False,2025-03-27,2,2,7,3.77,0.7495622369224553,1326,-0.08749345554401924,0.36918056933165594,6968.03,48.76,Low,1.108,0.20811398165496434,-0.29818533526314867,178.54,1.39,1969.01,1.3938792003232632,0.021116138763197588,True,False,False,False,False
App Installs,Display Network,Mobile,Android,Video,True,Neutral,1,35-44,Male,Shoppers,>$200K,Low,False,2024-02-22,19,64,7,2.32,0.010352468106825712,1186,-0.5234581622923399,-0.1017200081272549,2961.23,85.59,Medium,1.93,-0.3855943240522861,-0.6542601597134295,305.72,1.08,209.71,1.0762160551258941,0.007588532883642495,True,False,False,False,False
Brand Awareness,Stories,Mobile,macOS,Image,True,Curiosity,77,35-44,Female,Tech Enthusiasts,$100K-$200K,Low,False,2025-05-15,17,8,4,3.5,-0.4753961691112251,124,-0.7299677602257548,-0.5872913123642182,0.0,61.46,Low,0.534,0.09756140059223495,-0.8540094514782213,0.0,0.0,-434.0,0.0,0.0,False,True,False,False,False
Conversions,Search,Mobile,iOS,Carousel,True,Neutral,4,45-54,All,Shoppers,<$50K,Low,False,2025-04-06,7,85,10,1.7,0.058085213410945025,3398,0.210798185915358,0.5321006454253154,3611.9,82.76,Medium,5.211,-0.6394558064926276,-0.536358074455687,140.89,0.63,-2164.7,0.6252639961222864,0.012065921130076516,True,False,False,False,False
Conversions,Search,Mobile,Android,Story,False,Trust,31,45-54,All,Students,$50K-$100K,Low,False,2024-06-19,17,89,6,0.7,0.6406584162099702,1433,-0.6381857166997926,-0.4680523719273478,1384.19,75.9,High,1.29,-1.0489098104286625,-0.7805838224895824,250.78,1.38,381.09,1.3799122719569334,0.0027913468248429866,False,False,False,False,True
Conversions,Search,Desktop,macOS,Video,True,Fear,36,25-34,Female,Business Professionals,$50K-$100K,Low,False,2024-06-10,12,31,6,2.18,-0.2846938173294137,1358,-0.08749345554401924,-0.057946682813477084,3337.25,67.11,High,3.553,-0.4429178846033308,-0.31134405013566463,105.73,1.13,376.81,1.1272817554147356,0.020618556701030927,False,False,False,False,False
Lead Generation,Feed,Mobile,iOS,Story,True,Neutral,73,18-24,Male,Business Professionals,<$50K,Low,False,2024-04-26,8,17,4,2.7,-0.6079123297705856,142,-0.6611312275812832,-0.5978931229179093,603.45,55.79,Medium,1.112,-0.23000180255659278,-0.29792216096569835,127.8,1.57,220.05,1.5739436619718312,0.02112676056338028,False,False,False,False,False
App Installs,Sidebar,Tablet,Windows,Video,True,Urgency,88,45-54,Male,Business Professionals,<$50K,Medium,True,2025-01-20,8,89,5,5.8,0.25892347012960776,1063,0.23374369679684856,0.6135627786916221,8717.72,41.26,Medium,1.312,1.0393056096451148,0.18579219774798697,146.8,1.41,2552.32,1.4139747623836247,0.03951081843838194,True,False,False,False,False
Lead Generation,Display Network,Mobile,Windows,Story,True,Trust,88,45-54,Female,Business Professionals,$50K-$100K,Low,False,2024-05-05,19,71,4,3.18,-0.6674575958657722,80,-0.7299677602257548,-0.6249214541713907,0.0,70.15,Medium,0.99,-0.0334638806672961,-0.8540094514782213,0.0,0.0,-254.4,0.0,0.0,False,True,False,False,False
Lead Generation,Feed,Tablet,Windows,Video,False,Neutral,10,65+,Male,Students,<$50K,Low,False,2025-11-18,23,1,5,1.01,-0.5072899752471068,1005,-0.1104389664255098,-0.4655485846523159,5536.04,55.41,Low,4.857,-0.9219790692084915,-0.1468601142292156,37.59,5.45,4520.99,5.453957933106744,0.026865671641791045,False,False,False,False,False
Brand Awareness,Feed,Mobile,iOS,Interactive,False,Trust,50,35-44,Female,Students,>$200K,Medium,False,2025-02-25,0,69,4,1.15,-0.2914129823815369,371,-0.7299677602257548,-0.5888312986798234,0.0,40.25,Medium,0.984,-0.8646555086574468,-0.8540094514782213,0.0,0.0,-426.65,0.0,0.0,False,False,False,False,True
Conversions,Feed,Mobile,Windows,Image,True,Joy,52,25-34,Female,Business Professionals,$50K-$100K,High,False,2024-01-20,7,54,7,2.09,-0.45809654188817817,336,-0.33989407524041537,-0.5310891451127929,5219.77,46.38,High,1.368,-0.4797687449575741,0.47765249362039003,41.31,7.43,4517.53,7.433028594212805,0.050595238095238096,True,False,False,False,False
Lead Generation,In-Stream Video,Desktop,macOS,Image,True,Joy,80,45-54,Male,Shoppers,$50K-$100K,Medium,False,2024-02-23,16,1,6,0.96,-0.7065913340994049,51,-0.7299677602257548,-0.6679656431071676,0.0,47.79,Low,1.02,-0.9424517694052933,-0.8540094514782213,0.0,0.0,-48.96,0.0,0.0,False,False,False,False,False
Lead Generation,In-Stream Video,Tablet,Windows,Image,True,Joy,31,35-44,Male,Gamers,<$50K,Medium,False,2025-05-19,19,36,6,2.84,1.3841486361079542,2561,0.3943622729672825,0.8456795732331481,12631.74,54.97,High,1.51,-0.17267824200554804,-0.35055702045576204,148.43,1.74,5358.5,1.736741809702416,0.019133151112846546,False,False,True,False,False
Brand Awareness,Feed,Mobile,iOS,Interactive,True,Neutral,59,25-34,All,Shoppers,$100K-$200K,Medium,True,2025-04-17,6,77,7,0.7,-0.7065913340994049,161,-0.7299677602257548,-0.65461071416068,0.0,71.27,Low,3.22,-1.0489098104286625,-0.8540094514782213,0.0,0.0,-112.7,0.0,0.0,False,False,False,False,False
Conversions,Search,Mobile,Android,Image,True,Trust,37,55-64,All,Gamers,$50K-$100K,Low,True,2024-08-31,17,18,9,1.81,-0.604406678439043,339,-0.6381857166997926,-0.5496632657765225,856.88,77.02,Medium,2.599,-0.5944158660596638,-0.5434637804868455,153.4,1.4,243.29,1.3965025505630795,0.011799410029498525,False,False,False,False,True
